mean_predicted_probability,observed_default_rate,absolute_gap
0.01284744632558894,0.012269938650306749,0.000577507675282191
0.02967360853191281,0.032507739938080496,0.0028341314061676864
0.04843263548454385,0.06800618238021638,0.019573546895672533
0.06731673662780617,0.05855161787365177,0.008765118754154401
0.0919504190923491,0.07395993836671803,0.017990480725631072
0.11936589650564937,0.10664605873261206,0.012719837773037312
0.16381966040094606,0.1510015408320493,0.012818119568896752
0.24401526366850734,0.24845679012345678,0.00444152645494944
0.46866459988974307,0.44907407407407407,0.019590525815669002
0.9782551080805197,0.9861325115562404,0.007877403475720635
