model,evaluation_split,decision_threshold,accuracy,precision,recall,f1_score,roc_auc,average_precision,brier_score
Random Forest,final_test,0.5,0.8800123380629241,0.8470715835140998,0.5507757404795487,0.6675213675213675,0.870487630972155,0.7750594457441193,0.09322370712522299
Random Forest,final_test,0.19,0.8243368291178285,0.5785915492957746,0.7242595204513399,0.643282179768243,0.870487630972155,0.7750594457441193,0.09322370712522299
