threshold,accuracy,precision,recall,f1_score,true_negatives,false_positives,false_negatives,true_positives,business_cost
0.46,0.8855644663787785,0.8542976939203354,0.57475317348378,0.6871838111298483,4927,139,603,815,3154
0.47,0.884793337446021,0.8595927116827439,0.5655853314527504,0.6822628668651638,4935,131,616,802,3211
0.48,0.8852560148056755,0.8679039301310044,0.5606488011283498,0.6812339331619537,4945,121,623,795,3236
0.49,0.8846391116594695,0.875560538116592,0.5507757404795487,0.6761904761904762,4955,111,637,781,3296
0.5,0.8838679827267119,0.88,0.5430183356840621,0.6716092455298736,4961,105,648,770,3345
0.51,0.8838679827267119,0.8888888888888888,0.535966149506347,0.6687197536295645,4971,95,658,760,3385
0.52,0.8837137569401604,0.8971291866028708,0.5289139633286318,0.6654835847382431,4980,86,668,750,3426
0.53,0.8840222085132634,0.9080882352941176,0.5225669957686883,0.6633840644583706,4991,75,677,741,3460
0.54,0.8835595311536089,0.9097651421508035,0.5190409026798307,0.6609788953749439,4993,73,682,736,3483
0.55,0.8834053053670574,0.9179292929292929,0.5126939351198871,0.6579185520361991,5001,65,691,727,3520
0.56,0.8834053053670574,0.9265463917525774,0.5070521861777151,0.6554238833181404,5009,57,699,719,3552
0.57,0.8837137569401604,0.933420365535248,0.504231311706629,0.6547619047619048,5015,51,703,715,3566
0.58,0.8834053053670574,0.9425133689839572,0.49717912552891397,0.6509695290858726,5023,43,713,705,3608
0.59,0.8832510795805059,0.9472259810554804,0.4936530324400564,0.6490496059341678,5027,39,718,700,3629
0.6,0.8829426280074029,0.9482993197278912,0.4915373765867419,0.6474686483975848,5028,38,721,697,3643
0.61,0.8832510795805059,0.9521203830369357,0.4908321579689704,0.6477431363424849,5031,35,722,696,3645
0.62,0.8830968537939543,0.9532967032967034,0.4894217207334274,0.646784715750233,5032,34,724,694,3654
0.63,0.8834053053670574,0.9559228650137741,0.4894217207334274,0.6473880597014925,5034,32,724,694,3652
0.64,0.8829426280074029,0.9582753824756607,0.48589562764456984,0.6448291998128217,5036,30,729,689,3675
0.65,0.8823257248611968,0.960618846694796,0.48166431593794073,0.6416157820573039,5038,28,735,683,3703
0.66,0.8826341764342999,0.9672830725462305,0.4795486600846262,0.6412069778406412,5043,23,738,680,3713
0.67,0.8820172732880938,0.9684361549497847,0.47602256699576867,0.6382978723404256,5044,22,743,675,3737
0.68,0.8812461443553362,0.9682080924855492,0.47249647390691113,0.6350710900473934,5044,22,748,670,3762
0.69,0.8806292412091302,0.9680232558139535,0.4696755994358251,0.6324786324786325,5044,22,752,666,3782
0.7,0.8809376927822332,0.9736070381231672,0.4682651622002821,0.6323809523809524,5048,18,754,664,3788
0.71,0.8806292412091302,0.9777448071216617,0.46473906911142454,0.630019120458891,5051,15,759,659,3810
0.72,0.8801665638494757,0.977645305514158,0.46262341325811,0.6280516993776927,5051,15,762,656,3825
0.73,0.8793954349167181,0.9803625377643505,0.45768688293370946,0.6240384615384615,5053,13,769,649,3858
0.74,0.878778531770512,0.9802431610942249,0.45486600846262343,0.6213872832369942,5053,13,773,645,3878
0.75,0.878778531770512,0.9817073170731707,0.4541607898448519,0.6210221793635486,5054,12,774,644,3882
0.76,0.878778531770512,0.9831804281345565,0.4534555712270804,0.6206563706563707,5055,11,775,643,3886
0.77,0.878778531770512,0.9861538461538462,0.4520451339915374,0.6199226305609284,5057,9,777,641,3894
0.78,0.878470080197409,0.9861111111111112,0.4506346967559944,0.6185866408518877,5057,9,779,639,3904
0.79,0.878470080197409,0.9891304347826086,0.44922425952045136,0.6178467507274491,5059,7,781,637,3912
0.8,0.8778531770512029,0.9890625,0.4464033850493653,0.6151603498542274,5059,7,785,633,3932
0.81,0.8773904996915485,0.989010989010989,0.44428772919605075,0.6131386861313869,5059,7,788,630,3947
0.82,0.8767735965453424,0.9904912836767037,0.4407616361071932,0.6100536847242557,5060,6,793,625,3971
0.83,0.8767735965453424,0.9904912836767037,0.4407616361071932,0.6100536847242557,5060,6,793,625,3971
0.84,0.8764651449722394,0.9904610492845787,0.4393511988716502,0.6086956521739131,5060,6,795,623,3981
0.85,0.8763109191856878,0.9935897435897436,0.43723554301833567,0.6072477962781586,5062,4,798,620,3994
0.86,0.8764651449722394,0.9951845906902087,0.43723554301833567,0.6075453209211171,5063,3,798,620,3993
0.87,0.8761566933991364,0.9951690821256038,0.43582510578279265,0.6061794997547818,5063,3,800,618,4003
0.88,0.8755397902529303,0.9951377633711507,0.4330042313117066,0.6034398034398034,5063,3,804,614,4023
0.89,0.8750771128932757,0.995114006514658,0.4308885754583921,0.6013779527559056,5063,3,807,611,4038
0.9,0.8744602097470697,0.9950819672131147,0.42806770098730607,0.5986193293885601,5063,3,811,607,4058
