feature,importance_mean,importance_std
loan_percent_income,0.26563448008072577,0.01244538934873837
person_home_ownership,0.18382383981378694,0.0100577025693762
loan_grade,0.1494721115297676,0.009764510963687533
loan_intent,0.11500911631294872,0.006409104156060929
person_income,0.08595179581704486,0.0020117798283626693
person_emp_length,0.038567954469690115,0.004881301910933405
loan_int_rate,0.03228221571751861,0.004620240554624868
person_age,0.0008222401565236888,0.0019133683192955446
cb_person_cred_hist_length,-0.0011273061638875173,0.0012520130115365395
cb_person_default_on_file,-0.0015665363043316466,0.001851886925982155
loan_amnt,-0.0021343559819159775,0.0009800744125718032
