metric,estimate,lower_95,upper_95
roc_auc,0.8818973584082832,0.8710947384539377,0.8913311513403077
recall,0.7560732509186117,0.7357038873150771,0.7751453383077369
f1_score,0.6579527642176481,0.637425829523309,0.6750611512543031
