model,accuracy,precision,recall,f1_score,roc_auc,average_precision,brier_score,decision_threshold,business_cost,evaluation_split
Gradient Boosting,0.8252988816043193,0.5764075067024129,0.7583774250440917,0.654988575780655,0.890417082338767,0.7970938217604832,0.08743646816281052,0.21,1001,selection_after_calibration_and_thresholding
Random Forest,0.8168145005784805,0.5602094240837696,0.7548500881834215,0.6431254695717505,0.8788091668973538,0.7842848674023019,0.09102026722301423,0.19,1031,selection_after_calibration_and_thresholding
Logistic Regression,0.7493251060547628,0.4540420819490587,0.7231040564373897,0.5578231292517006,0.8264214244799962,0.6286826090553961,0.12168926058480799,0.22,1278,selection_after_calibration_and_thresholding
